top - 22:44:57 up  7:27,  1 user,  load average: 0.53, 0.32, 0.19
Tasks: 231 total,   1 running, 225 sleeping,   5 stopped,   0 zombie
%Cpu(s): 10.7 us,  7.1 sy,  0.0 ni, 75.0 id,  0.0 wa,  0.0 hi,  7.1 si,  0.0 st 
MiB Mem :   6739.2 total,   1911.7 free,   2184.7 used,   2403.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   4554.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    602 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    605 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    609 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    662 avahi     20   0    8668   4400   4016 S   0.0   0.1   0:00.33 avahi-d+
    663 message+  20   0   12116   7192   4632 S   0.0   0.1   0:02.70 dbus-da+
    669 gnome-r+  20   0  365344  16272  13968 S   0.0   0.2   0:00.16 gnome-r+
    691 polkitd   20   0  399652  12140   8264 S   0.0   0.2   0:02.68 polkitd
    696 root      20   0  322164   7244   6604 S   0.0   0.1   0:00.09 power-p+
    702 root      20   0 1923240  40660  25840 S   0.0   0.6   0:07.84 snapd
    715 root      20   0  321960   7700   6932 S   0.0   0.1   0:01.51 account+
    720 root      20   0   18092   2660   2532 S   0.0   0.0   0:00.20 cron
    727 root      20   0  318544   7000   6360 S   0.0   0.1   0:00.14 switche+
    745 root      20   0   18256   8820   7796 S   0.0   0.1   0:00.42 systemd+
    750 root      20   0  469452  13796  11364 S   0.0   0.2   0:01.46 udisksd
    782 avahi     20   0    8480   1420   1152 S   0.0   0.0   0:00.00 avahi-d+
    784 root      20   0  344980  18944  16256 S   0.0   0.3   0:03.03 Network+
    787 root      20   0   17380   6272   5504 S   0.0   0.1   0:00.51 wpa_sup+
    793 syslog    20   0  222588   6000   4464 S   0.0   0.1   0:00.53 rsyslogd
    848 root      20   0  392028  12388  10468 S   0.0   0.2   0:00.23 ModemMa+
   1108 root      20   0   46896  11892   9844 S   0.0   0.2   0:00.18 cupsd
   1115 root      20   0  120924  23004  13660 S   0.0   0.3   0:00.15 unatten+
   1125 root      20   0  323492   9064   8168 S   0.0   0.1   0:00.23 gdm3
   1128 cups-br+  20   0  268348  19892  17076 S   0.0   0.3   0:00.17 cups-br+
   1136 kernoops  20   0   12744   2128   1724 S   0.0   0.0   0:00.07 kernelo+
   1144 kernoops  20   0   12744   2280   1876 S   0.0   0.0   0:00.06 kernelo+
   1147 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1240 rtkit     21   1   22940   3428   3172 S   0.0   0.0   0:01.15 rtkit-d+
   1380 colord    20   0  328728  14244   9636 S   0.0   0.2   0:00.22 colord
   1421 root      20   0  326652  10100   7412 S   0.0   0.1   0:04.73 upowerd
   1735 root      20   0  398712  10896   9360 S   0.0   0.2   0:00.29 gdm-ses+
   1754 ganesh    20   0   21148  12588   9556 S   0.0   0.2   0:02.66 systemd
   1755 ganesh    20   0   21460   3664   1860 S   0.0   0.1   0:00.00 (sd-pam)
   1766 ganesh     9 -11  123980  14888   9128 S   0.0   0.2   0:05.06 pipewire
   1767 ganesh    20   0  106404   6016   5248 S   0.0   0.1   0:00.02 pipewire
   1776 ganesh     9 -11  415568  18728  13736 S   0.0   0.3   0:01.29 wireplu+
   1777 ganesh     9 -11  132940  19812  10644 S   0.0   0.3   0:01.75 pipewir+
   1783 ganesh    20   0   11100   6520   4512 S   0.0   0.1   0:02.99 dbus-da+
   1784 ganesh    20   0  325176   9836   8940 S   0.0   0.1   0:00.30 gnome-k+
   1822 ganesh    20   0  767456   7504   6864 S   0.0   0.1   0:00.21 xdg-doc+
   1832 ganesh    20   0  244336   6088   5704 S   0.0   0.1   0:00.02 gdm-way+
   1837 ganesh    20   0  317976   6016   5632 S   0.0   0.1   0:00.05 xdg-per+
   1840 ganesh    20   0  306904  16284  14492 S   0.0   0.2   0:00.08 gnome-s+
   1851 root      20   0    2704   1808   1808 S   0.0   0.0   0:00.00 fusermo+
   1933 ganesh    20   0  162652   6892   6252 S   0.0   0.1   0:00.01 gcr-ssh+
   1934 ganesh    20   0  100216   5616   5232 S   0.0   0.1   0:00.01 gnome-s+
   1945 ganesh    20   0  322948   8116   7348 S   0.0   0.1   0:00.16 gvfsd
   1956 ganesh    20   0  468376   6820   6308 S   0.0   0.1   0:00.03 gvfsd-f+
   1958 ganesh    20   0  676624  17860  15428 S   0.0   0.3   0:00.49 gnome-s+
   2001 ganesh    20   0 4601368 447708 157444 S   0.0   6.5   5:01.94 gnome-s+
   2003 ganesh    20   0  382940   7828   7188 S   0.0   0.1   0:00.06 at-spi-+
   2015 ganesh    20   0    9480   5012   4628 S   0.0   0.1   0:00.10 dbus-da+
   2074 ganesh    20   0  236068   7540   6900 S   0.0   0.1   0:00.06 at-spi2+
   2098 ganesh    20   0  654716  17364  14932 S   0.0   0.3   0:00.36 gnome-s+
   2113 ganesh    20   0 1084792  43136  34816 S   0.0   0.6   0:00.46 evoluti+
   2117 ganesh    20   0 2530044  26996  22088 S   0.0   0.4   0:00.28 gjs
   2121 ganesh    20   0  397504  12228   7072 S   0.0   0.2   0:03.88 ibus-da+
   2122 ganesh    20   0  392188   6500   5988 S   0.0   0.1   0:00.05 gsd-a11+
   2124 ganesh    20   0  421568  19508  16692 S   0.0   0.3   0:00.59 gsd-col+
   2125 ganesh    20   0  440336  12320  11040 S   0.0   0.2   0:00.07 gsd-dat+
   2126 ganesh    20   0  393800   7932   7164 S   0.0   0.1   0:00.48 gsd-hou+
   2128 ganesh    20   0  419912  18320  15632 S   0.0   0.3   0:00.18 gsd-key+
   2129 ganesh    20   0  815780  24248  20536 S   0.0   0.4   0:00.65 gsd-med+
   2130 ganesh    20   0  675304  25276  20924 S   0.0   0.4   0:00.86 gsd-pow+
   2131 ganesh    20   0  332296  11348  10068 S   0.0   0.2   0:00.13 gsd-pri+
   2132 ganesh    20   0  539752   6348   5964 S   0.0   0.1   0:00.07 gsd-rfk+
   2133 ganesh    20   0  318228   6112   5600 S   0.0   0.1   0:00.05 gsd-scr+
   2134 ganesh    20   0  551856  11388   9980 S   0.0   0.2   0:00.10 gsd-sha+
   2135 ganesh    20   0  394488   8284   7388 S   0.0   0.1   0:00.08 gsd-sma+
   2138 ganesh    20   0  402304   9436   8412 S   0.0   0.1   0:00.07 gsd-sou+
   2140 ganesh    20   0  494620  18940  15740 S   0.0   0.3   0:00.25 gsd-wac+
   2158 ganesh    20   0  305492   7260   6108 S   0.0   0.1   0:00.07 gsd-dis+
   2191 ganesh    20   0  832396  60000  46432 S   0.0   0.9   0:00.62 evoluti+
   2293 ganesh    20   0  397984  10116   8580 S   0.0   0.1   0:00.25 gvfs-ud+
   2312 ganesh    20   0  424904  14856  13064 S   0.0   0.2   0:00.15 gsd-pri+
   2321 ganesh    20   0  245312   7060   6548 S   0.0   0.1   0:00.03 ibus-me+
   2322 ganesh    20   0  429624  28284  17180 S   0.0   0.4   0:03.23 ibus-ex+
   2333 ganesh    20   0  319092   7028   6516 S   0.0   0.1   0:00.09 ibus-po+
   2356 ganesh    20   0  555328  24172  20588 S   0.0   0.4   0:00.14 goa-dae+
   2365 ganesh    20   0  398044   7984   7088 S   0.0   0.1   0:03.85 gvfs-af+
   2371 ganesh    20   0  319428   6592   6080 S   0.0   0.1   0:00.12 gvfs-gp+
   2381 ganesh    20   0  899396  24200  21000 S   0.0   0.4   0:00.41 evoluti+
   2382 ganesh    20   0  397792   9080   8184 S   0.0   0.1   0:00.08 goa-ide+
